Tag,Stream Link
koala,https://zoo.sandiegozoo.org/cams/koala-cam
polar,https://zoo.sandiegozoo.org/cams/polar-cam
hippo,https://zoo.sandiegozoo.org/cams/hippo-cam
elephant,https://sdzsafaripark.org/cams/elephant-cam
cheetah,https://nationalzoo.si.edu/webcams/cheetah-cub-cam
panda,https://nationalzoo.si.edu/webcams/panda-cam
naked_mole_rat,https://nationalzoo.si.edu/webcams/naked-mole-rat-cam
lion,https://nationalzoo.si.edu/webcams/lion-cam
elephant,https://nationalzoo.si.edu/webcams/elephants
penguin,https://zoo.sandiegozoo.org/cams/penguin-cam
